,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
153,31.54166667,1.191666667,3.212186837,143.8333333,28.23333333,7.583333333,4.774912961,4.885323992,9.496883333,2.571383333
154,24.93333333,0.983333333,3.016351561,113.3333333,19.525,10.5,4.591747166,4.790957951,8.568158333,3.483383333
155,24.175,0.816666667,3.48635519,116.8333333,22.0625,9,4.564348191,4.662581093,7.519358333,3.464683333
156,33.29166667,1.308333333,3.79173684,98.08333333,26.3,12.41666667,4.984747523,5.14409724,7.389308333,3.115875
157,34.24444444,1.122222222,3.266607228,98.22222222,23.67142857,10.85714286,4.951907021,5.157137753,7.3989,3.362911111
158,41.4,1.066666667,3.184974273,102.1666667,25.41666667,9.166666667,4.805386233,5.107963638,6.951116667,3.47045
160,26.28888889,1.022222222,3.392829132,134,29.28888889,8.444444444,4.698964065,4.80811103,8.377483333,3.052558333
161,30.78333333,1.316666667,3.501545355,96.11111111,24.26,12,5.562816104,5.797407734,7.683009091,3.016663636
162,49.44444444,0.655555556,3.763136225,129.1111111,27.8,10.33333333,4.622295436,5.031031922,8.092125,2.514041667
163,28.92222222,0.966666667,4.099884743,143.9166667,27.1,10.77777778,5.065754593,5.232444622,7.761075,2.610125
164,29.87777778,1.755555556,2.737249356,110.8333333,25.03333333,13.16666667,5.367532436,5.479712568,8.875233333,3.254144444
165,25.29166667,1.366666667,2.538973871,134.6666667,25.95,10.33333333,5.173792908,5.634789603,7.701481818,3.309981818
166,36.77916667,1.066666667,3.55296427,161,30.60909091,9.090909091,4.952620899,5.257968745,8.77615,2.868683333
167,30.375,1.341666667,3.028522096,90.33333333,26.81666667,11.25,4.603502129,5.215841145,9.16464,2.53908
168,34.96666667,0.95,3.576550269,159.4444444,32.2,10,4.838923916,5.179909135,8.782975,3.092733333
169,35.27142857,0.957142857,3.228826156,143.8571429,29.34285714,8.714285714,3.853182505,4.69918082,10.567725,3.48775
170,28.68333333,1.266666667,2.926739402,91,23.6,10.5,4.917544871,5.180846782,9.466366667,2.540116667
171,22.09166667,1.175,3.757316616,87.16666667,22.09166667,9.333333333,5.008410599,5.157617484,8.880391667,2.987925
172,23.83333333,1.188888889,3.52144651,86,22.65,9.875,4.716060837,4.837003148,7.877366667,3.258775
174,39.53333333,1.544444444,2.47793798,151.6666667,31.24285714,14.42857143,5.088477781,5.277385531,9.854327273,2.849645455
176,36.75833333,1.891666667,2.668384945,131.6666667,26.29166667,14.5,5.152327739,5.318936654,9.099141667,3.6986
177,24.28888889,1.166666667,3.595026545,90,20.36666667,10.5,4.894441903,5.02148531,7.960258333,3.238133333
178,41.88333333,1.541666667,3.215536924,159.75,30.1,9.818181818,5.318565527,5.484796933,6.7898,2.764791667
179,20.725,0.816666667,3.585831078,97.41666667,20.775,10.25,4.658710953,4.743481802,7.486616667,3.5665
180,31.85833333,1,3.10980473,112.75,25.6,9.333333333,4.820281566,5.012855051,7.188383333,3.593733333
181,34.03333333,1.0125,3.341093458,126.1666667,22.95555556,12.11111111,5.106496286,5.336663572,7.519775,3.513616667
182,32.85,1.441666667,2.90416508,128,23.93333333,13.66666667,5.321382639,5.451515212,8.541775,3.380958333
183,34.07777778,1.7,2.751535313,122.4444444,22.86666667,11.55555556,5.139712336,5.252709633,8.686627273,3.092918182
184,35.5,1.133333333,2.608843551,117.8333333,23.57777778,11.33333333,4.89987301,5.059136816,7.369758333,3.99045
186,38.81666667,1.05,3.098589659,107.0833333,26.78181818,10.54545455,5.035771267,5.240784551,7.433666667,3.4992
187,27.525,1.275,2.696876901,106,25.1,12.08333333,5.11699531,5.222605545,9.690625,2.468066667
188,40.6,1.822222222,2.881069365,120.0833333,23.15,11.83333333,5.49340432,5.672750365,7.40925,3.131791667
189,22.39166667,1.116666667,3.64414356,141.6666667,19.52222222,7.888888889,4.7225491,4.849897309,7.458109091,3.305836364
191,27.70833333,0.891666667,3.149882953,152,31.15833333,7.833333333,4.505851985,4.643516391,9.517816667,2.7633
192,27.35833333,1.15,3.301990732,93.75,20.93333333,6.888888889,3.704663322,4.185513949,8.151533333,3.540883333
