,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
353,23.14166667,1.008333333,3.654977902,127.6666667,20.61818182,6.909090909,4.928570341,5.00027882,6.0652,3.114063636
355,26.80833333,1.041666667,3.412247218,126.3333333,19.87777778,8,4.88073367,4.95774583,7.69685,3.525558333
356,31.475,1.283333333,3.923622141,151.5833333,28.89090909,10.63636364,4.994752248,5.124504959,7.946141667,2.971291667
357,26.45833333,1.225,2.644992065,149.3333333,25.80833333,8.166666667,5.074652846,5.212214667,7.628583333,3.059733333
359,31.26666667,1.644444444,3.499029631,131.0833333,26.6125,9.5,5.198497031,5.275327848,8.216075,2.5574
360,29.93333333,1.116666667,3.392829132,123.8333333,26.35454545,7.909090909,4.728995536,4.86753445,8.868383333,2.713366667
363,28.22,0.92,3.284663565,98,22.71,10,4.516338972,5.051137237,6.606577778,3.403166667
364,29.74166667,1.433333333,2.633087163,93.08333333,20.95833333,9.583333333,4.907740871,5.05305601,7.653145455,3.568827273
365,26.775,1.083333333,3.311151101,88.91666667,22.675,10,4.944614193,5.068379956,7.867766667,3.159616667
366,28.58333333,0.9,3.336164911,88,19.7,9.166666667,4.59511985,4.733270189,7.099283333,3.242758333
367,27.81666667,1.258333333,3.43667177,119.25,22.85454545,7.818181818,4.737792074,4.858401967,8.496591667,3.277516667
368,22.94166667,0.791666667,3.557726184,107,21.55,8.75,4.748548769,4.889722365,6.427725,3.404208333
369,25.49166667,0.925,4.074708588,119.5,19.50909091,6.545454545,4.121743536,4.211304214,9.050966667,2.673
371,40.75833333,1.525,3.352823797,133.9166667,27.05833333,10.16666667,5.171430517,5.272999559,8.419166667,2.696658333
372,31.26666667,1.191666667,3.814042597,139.75,27.61666667,8,4.870095271,4.935672256,8.159518182,2.585309091
373,28.85,0.933333333,3.550574783,166.6666667,33.3,9,4.42384813,4.880273476,10.393075,2.396258333
376,28.14166667,1.083333333,2.633087163,118.75,23.78333333,7.333333333,4.560869927,4.823636148,10.24314167,3.531991667
377,31.79166667,1.55,2.944438979,119.6666667,23.71666667,11.33333333,4.864324175,5.026617999,8.8848,3.153616667
378,30.13,1.01,3.799973502,122.9,22.51428571,8.285714286,4.760272794,4.877738621,7.91285,2.93044
379,37.54166667,1.408333333,2.972742755,130.6666667,24.58333333,9.833333333,4.905891872,5.129405497,8.919516667,3.100966667
380,40.34444444,1.077777778,2.966131804,100,26.4,11.28571429,5.001706663,5.269002979,6.957,3.41615
381,33.3,1.716666667,2.674148649,132.5833333,31.12222222,9.888888889,5.209030676,5.48341285,7.690841667,3.390733333
384,35.94166667,1.541666667,2.885731378,128.0833333,24.21111111,10.55555556,4.912041953,5.180378069,8.70385,3.099566667
385,27.33636364,1.018181818,3.808512629,128.8333333,26.39,9.9,4.661722355,4.891715249,8.4533,2.843408333
386,33.5,1.408333333,2.978925155,113.0833333,24.10833333,10.5,5.289949117,5.512756477,8.12595,3.028033333
387,26.625,1.416666667,2.818398258,88.08333333,20.38181818,11.81818182,5.069475794,5.168415742,7.983941667,3.28515
388,31.35454545,1.054545455,3.207906793,96.18181818,24.08,10.3,4.952299717,5.236441963,7.258427273,3.240109091
390,34.95555556,1.477777778,3.208825489,120.1666667,31.6,12.44444444,4.529008825,5.21312252,8.814941667,2.829183333
391,27.24166667,1.166666667,2.813410717,101.6666667,26.0375,10.875,4.816609141,5.219372541,9.838209091,2.522709091
392,35.98333333,1.608333333,3.120895417,121.8333333,24.91818182,11.09090909,4.77529647,5.235958287,9.709733333,3.048116667
394,27.525,1.158333333,3.142714464,118.3333333,22.42222222,9.444444444,4.711166863,4.891032422,9.440883333,3.288691667
395,33.1,1.408333333,2.788092909,117.5,26.68333333,10.83333333,5.035869765,5.178970609,8.98575,3.295866667
396,22.50833333,1.175,2.935628349,91.66666667,21.85,11.16666667,5.150397236,5.293304825,9.006554545,2.5468
397,29.125,1.158333333,2.679879324,91.83333333,22.5625,13.625,5.167380009,5.416504361,9.16204,2.44306
398,29.67777778,1.388888889,3.135494216,106.8333333,24.54444444,11.22222222,5.325716341,5.524567199,9.236033333,2.70205
399,25.3,1.275,2.696876901,94.33333333,24.03333333,12.08333333,5.270432163,5.38907173,8.841466667,2.556191667
400,30.8,1.4,3.044522438,109.5833333,25.3,11.83333333,5.371800143,5.487559366,9.343783333,2.744016667
616,26.33333333,1.05,3.54577861,111,33.31666667,11,4.96517292,5.411646052,10.14395,2.270733333
618,27.93333333,1.4,3.308106959,86.83333333,20.15,10.16666667,4.8978398,5.11599581,7.73225,3.230666667
619,23.88333333,1.35,3.171085161,81.83333333,23.31666667,9.666666667,4.773505501,4.881538499,9.145033333,2.604666667
620,32.41666667,1.383333333,3.428596356,110.1666667,28.8,11,5.177090909,5.372187215,9.744366667,2.65335
621,22.88333333,1.216666667,2.602689685,91.5,24.88333333,12.66666667,4.944020545,5.379897354,9.36144,2.58132
622,28.31666667,1.016666667,3.444682494,84.66666667,22.51666667,11.33333333,4.739118158,5.377590547,8.56675,3.116283333
623,34.33333333,1.5,3.412247218,105.5,27.66666667,11,5.454608611,5.585999439,9.187516667,2.675216667
624,31.36666667,1.1,2.685577345,98.16666667,25.83333333,13.16666667,4.715518243,5.388310405,9.06872,2.35872
625,28.15,1.05,2.782951509,102.1666667,23.3,12.83333333,4.787491743,5.321382639,9.044283333,2.3568
626,29.38333333,1.016666667,3.36729583,96.16666667,25.76666667,11.66666667,5.185521872,5.441695949,7.587733333,3.014233333
627,24.1,1.033333333,2.302585093,78.33333333,19.21666667,7.666666667,3.444682494,3.908684104,9.921,2.810216667
628,16.2,1.25,3.004031076,75.16666667,17.73333333,6.666666667,4.288173726,4.420846627,9.632383333,2.818266667
629,21.8,0.925,3.079613758,98,20.15,9.25,4.995521656,5.079850363,9.7649,2.5815
630,30.66666667,1.283333333,2.944438979,88.66666667,24.18333333,9.833333333,4.88909521,4.977882508,8.78595,2.43575
632,27.45,1.383333333,2.696876901,94.83333333,27.03333333,13,5.151362954,5.274707501,9.2707,2.525183333
633,26.21666667,1,3.516508228,88.16666667,24.48333333,9.166666667,5.041272264,5.205836514,8.48015,2.406183333
634,34.5,1.5,3.52144651,107.1666667,28.53333333,9.666666667,5.059425458,5.156177599,9.47815,2.648166667
